bin	mq	FP	total	TP	TP_sum	FP_sum	total_sum	FPR	TPR	mode	breeds	prog	replication
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	8
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	8
(50,60]	59.9849762057656	819	9857430	9856611	9856611	819	9857430	0.00818922284275222	98.5567569637641	pe	bwa	bwa	9
(40,50]	45.8177466118266	132	59324	59192	9915803	951	9916754	0.00950909758663903	99.1486207958865	pe	bwa	bwa	9
(30,40]	39.7489949189947	281	58453	58172	9973975	1232	9975207	0.0123188309429435	99.7302855958969	pe	bwa	bwa	9
(20,30]	25.3212105468243	527	7699	7172	9981147	1759	9982906	0.0175883308674007	99.8019987903148	pe	bwa	bwa	9
(10,20]	16.5484515484515	323	2002	1679	9982826	2082	9984908	0.0208180243694873	99.818787197095	pe	bwa	bwa	9
[0,10]	0.732497973941774	8703	16041	7338	9990164	10785	10000949	0.107839766006206	99.8921602339938	pe	bwa	bwa	9
(50,60]	59.9701182852782	678	9608719	9608041	9608041	678	9608719	0.0067793464710002	96.0711487412613	se	bwa	bwa	9
(40,50]	45.1693048372811	112	69998	69886	9677927	790	9678717	0.00789923851340731	96.7699413776512	se	bwa	bwa	9
(30,40]	34.9320107253901	151	70114	69963	9747890	941	9748831	0.00940909296343832	97.4695039398202	se	bwa	bwa	9
(20,30]	25.1740830636462	532	66744	66212	9814102	1473	9815575	0.0147285801648721	98.1315601176047	se	bwa	bwa	9
(10,20]	18.1381421001406	1085	46235	45150	9859252	2558	9861810	0.025577534325691	98.5830165972	se	bwa	bwa	9
[0,10]	2.70207108670969	49833	139154	89321	9948573	52391	10000964	0.523859499944205	99.4761405000558	se	bwa	bwa	9
(50,60]	59.9938778710564	46	9935106	9935060	9935060	46	9935106	0.00046	99.3506	pe	FV	vg	10
(40,50]	46.0928521373511	16	11416	11400	9946460	62	9946522	0.00062	99.4646	pe	FV	vg	10
(30,40]	35.7335645593568	46	12686	12640	9959100	108	9959208	0.00108	99.591	pe	FV	vg	10
(20,30]	24.8553249804229	43	10216	10173	9969273	151	9969424	0.00151	99.69273	pe	FV	vg	10
(10,20]	16.3271416083916	106	9152	9046	9978319	257	9978576	0.00257	99.78319	pe	FV	vg	10
[0,10]	2.1048356982823	7436	21424	13988	9992307	7693	10000000	0.07693	99.92307	pe	FV	vg	10
(50,60]	59.9782918504867	103	9712850	9712747	9712747	103	9712850	0.00103	97.12747	se	FV	vg	10
(40,50]	45.1554406684145	61	40813	40752	9753499	164	9753663	0.00164	97.53499	se	FV	vg	10
(30,40]	35.9470348022186	118	49221	49103	9802602	282	9802884	0.00282	98.02602	se	FV	vg	10
(20,30]	24.9544703435137	172	51439	51267	9853869	454	9854323	0.00454	98.53869	se	FV	vg	10
(10,20]	15.8682139585144	536	42569	42033	9895902	990	9896892	0.0099	98.95902	se	FV	vg	10
[0,10]	2.73421073049618	34240	103108	68868	9964770	35230	10000000	0.3523	99.6477	se	FV	vg	10
(50,60]	59.9939526750168	73	9935302	9935229	9935229	73	9935302	0.00073	99.35229	pe	FV	vg	1
(40,50]	46.1735015772871	30	11412	11382	9946611	103	9946714	0.00103	99.46611	pe	FV	vg	1
(30,40]	35.7079603580563	16	12512	12496	9959107	119	9959226	0.00119	99.59107	pe	FV	vg	1
(20,30]	24.8681469836903	55	10178	10123	9969230	174	9969404	0.00174	99.6923	pe	FV	vg	1
(10,20]	16.3326728313518	129	9084	8955	9978185	303	9978488	0.00303	99.78185	pe	FV	vg	1
[0,10]	2.09390107846783	7500	21512	14012	9992197	7803	10000000	0.07803	99.92197	pe	FV	vg	1
(50,60]	59.9783263501142	103	9712808	9712705	9712705	103	9712808	0.00103	97.12705	se	FV	vg	1
(40,50]	45.1577132441686	52	40599	40547	9753252	155	9753407	0.00155	97.53252	se	FV	vg	1
(30,40]	35.9473309608541	106	49175	49069	9802321	261	9802582	0.00261	98.02321	se	FV	vg	1
(20,30]	24.9528353220102	194	51458	51264	9853585	455	9854040	0.00455	98.53585	se	FV	vg	1
(10,20]	15.8864133117112	645	42549	41904	9895489	1100	9896589	0.011	98.95489	se	FV	vg	1
[0,10]	2.73644970070882	34360	103411	69051	9964540	35460	10000000	0.3546	99.6454	se	FV	vg	1
(50,60]	59.9939319653012	72	9935342	9935270	9935270	72	9935342	0.00072	99.3527	pe	FV	vg	2
(40,50]	46.1594101123596	23	11392	11369	9946639	95	9946734	0.00095	99.46639	pe	FV	vg	2
(30,40]	35.6839237057221	38	12478	12440	9959079	133	9959212	0.00133	99.59079	pe	FV	vg	2
(20,30]	24.9157751410231	49	10282	10233	9969312	182	9969494	0.00182	99.69312	pe	FV	vg	2
(10,20]	16.3175166297118	135	9020	8885	9978197	317	9978514	0.00317	99.78197	pe	FV	vg	2
[0,10]	2.09969282323373	7512	21486	13974	9992171	7829	10000000	0.07829	99.92171	pe	FV	vg	2
(50,60]	59.9781783521998	134	9713107	9712973	9712973	134	9713107	0.00134	97.12973	se	FV	vg	2
(40,50]	45.1652238071815	67	40660	40593	9753566	201	9753767	0.00201	97.53566	se	FV	vg	2
(30,40]	35.9358406628166	104	49003	48899	9802465	305	9802770	0.00305	98.02465	se	FV	vg	2
(20,30]	24.9709716905979	201	51467	51266	9853731	506	9854237	0.00506	98.53731	se	FV	vg	2
(10,20]	15.879094084824	572	42653	42081	9895812	1078	9896890	0.01078	98.95812	se	FV	vg	2
[0,10]	2.73848317331006	34182	103110	68928	9964740	35260	10000000	0.3526	99.6474	se	FV	vg	2
(50,60]	59.9938737734009	61	9934990	9934929	9934929	61	9934990	0.00061	99.34929	pe	FV	vg	3
(40,50]	46.192547660312	26	11540	11514	9946443	87	9946530	0.00087	99.46443	pe	FV	vg	3
(30,40]	35.7465101522843	34	12608	12574	9959017	121	9959138	0.00121	99.59017	pe	FV	vg	3
(20,30]	24.8826180678033	63	10206	10143	9969160	184	9969344	0.00184	99.6916	pe	FV	vg	3
(10,20]	16.3504478916321	115	9154	9039	9978199	299	9978498	0.00299	99.78199	pe	FV	vg	3
[0,10]	2.11636126871919	7547	21502	13955	9992154	7846	10000000	0.07846	99.92154	pe	FV	vg	3
(50,60]	59.978322949251	104	9712622	9712518	9712518	104	9712622	0.00104	97.12518	se	FV	vg	3
(40,50]	45.1637370988699	62	40791	40729	9753247	166	9753413	0.00166	97.53247	se	FV	vg	3
(30,40]	35.9444444444444	101	49032	48931	9802178	267	9802445	0.00267	98.02178	se	FV	vg	3
(20,30]	24.9717762313883	214	51446	51232	9853410	481	9853891	0.00481	98.5341	se	FV	vg	3
(10,20]	15.9049640757675	524	42868	42344	9895754	1005	9896759	0.01005	98.95754	se	FV	vg	3
[0,10]	2.72631996977945	34203	103241	69038	9964792	35208	10000000	0.35208	99.64792	se	FV	vg	3
(50,60]	59.9938761730792	54	9934964	9934910	9934910	54	9934964	0.00054	99.3491	pe	FV	vg	4
(40,50]	46.1727383649991	10	11474	11464	9946374	64	9946438	0.00064	99.46374	pe	FV	vg	4
(30,40]	35.6975939613147	34	12718	12684	9959058	98	9959156	0.00098	99.59058	pe	FV	vg	4
(20,30]	24.9152674736431	57	10244	10187	9969245	155	9969400	0.00155	99.69245	pe	FV	vg	4
(10,20]	16.3039666885821	134	9126	8992	9978237	289	9978526	0.00289	99.78237	pe	FV	vg	4
[0,10]	2.09937598956878	7529	21474	13945	9992182	7818	10000000	0.07818	99.92182	pe	FV	vg	4
(50,60]	59.9781650086428	123	9712667	9712544	9712544	123	9712667	0.00123	97.12544	se	FV	vg	4
(40,50]	45.1890488202997	57	40434	40377	9752921	180	9753101	0.0018	97.52921	se	FV	vg	4
(30,40]	35.9556763113607	104	49319	49215	9802136	284	9802420	0.00284	98.02136	se	FV	vg	4
(20,30]	24.9681713522822	181	51683	51502	9853638	465	9854103	0.00465	98.53638	se	FV	vg	4
(10,20]	15.9020337475719	664	42729	42065	9895703	1129	9896832	0.01129	98.95703	se	FV	vg	4
[0,10]	2.73912453473945	34199	103168	68969	9964672	35328	10000000	0.35328	99.64672	se	FV	vg	4
(50,60]	59.9939534339732	77	9935226	9935149	9935149	77	9935226	0.00077	99.35149	pe	FV	vg	5
(40,50]	46.1647966339411	24	11408	11384	9946533	101	9946634	0.00101	99.46533	pe	FV	vg	5
(30,40]	35.7180918953414	36	12536	12500	9959033	137	9959170	0.00137	99.59033	pe	FV	vg	5
(20,30]	24.9048547475141	47	10258	10211	9969244	184	9969428	0.00184	99.69244	pe	FV	vg	5
(10,20]	16.3665268271142	148	9058	8910	9978154	332	9978486	0.00332	99.78154	pe	FV	vg	5
[0,10]	2.09528678999721	7546	21514	13968	9992122	7878	10000000	0.07878	99.92122	pe	FV	vg	5
(50,60]	59.9781117037076	131	9712999	9712868	9712868	131	9712999	0.00131	97.12868	se	FV	vg	5
(40,50]	45.1631146330659	42	40634	40592	9753460	173	9753633	0.00173	97.5346	se	FV	vg	5
(30,40]	35.9219942066827	107	49022	48915	9802375	280	9802655	0.0028	98.02375	se	FV	vg	5
(20,30]	24.9759804878049	172	51250	51078	9853453	452	9853905	0.00452	98.53453	se	FV	vg	5
(10,20]	15.8761224201965	568	42542	41974	9895427	1020	9896447	0.0102	98.95427	se	FV	vg	5
[0,10]	2.74079939741002	34376	103553	69177	9964604	35396	10000000	0.35396	99.64604	se	FV	vg	5
(50,60]	59.9939234678225	52	9935272	9935220	9935220	52	9935272	0.00052	99.3522	pe	FV	vg	6
(40,50]	46.1490921787709	18	11456	11438	9946658	70	9946728	7e-04	99.46658	pe	FV	vg	6
(30,40]	35.738524849636	40	12636	12596	9959254	110	9959364	0.0011	99.59254	pe	FV	vg	6
(20,30]	24.8883795096671	48	10034	9986	9969240	158	9969398	0.00158	99.6924	pe	FV	vg	6
(10,20]	16.3275747508306	116	9030	8914	9978154	274	9978428	0.00274	99.78154	pe	FV	vg	6
[0,10]	2.11959948080846	7455	21572	14117	9992271	7729	10000000	0.07729	99.92271	pe	FV	vg	6
(50,60]	59.978264005325	111	9712645	9712534	9712534	111	9712645	0.00111	97.12534	se	FV	vg	6
(40,50]	45.1675780387926	46	40781	40735	9753269	157	9753426	0.00157	97.53269	se	FV	vg	6
(30,40]	35.9194377575584	108	49018	48910	9802179	265	9802444	0.00265	98.02179	se	FV	vg	6
(20,30]	24.985850971296	196	51735	51539	9853718	461	9854179	0.00461	98.53718	se	FV	vg	6
(10,20]	15.8894983403564	599	42479	41880	9895598	1060	9896658	0.0106	98.95598	se	FV	vg	6
[0,10]	2.74988871901066	34026	103342	69316	9964914	35086	10000000	0.35086	99.64914	se	FV	vg	6
(50,60]	59.9939232219445	69	9934870	9934801	9934801	69	9934870	0.00069	99.34801	pe	FV	vg	7
(40,50]	46.22808540184	29	11522	11493	9946294	98	9946392	0.00098	99.46294	pe	FV	vg	7
(30,40]	35.7021040974529	36	12642	12606	9958900	134	9959034	0.00134	99.589	pe	FV	vg	7
(20,30]	24.9087217172694	51	10342	10291	9969191	185	9969376	0.00185	99.69191	pe	FV	vg	7
(10,20]	16.3075086805556	116	9216	9100	9978291	301	9978592	0.00301	99.78291	pe	FV	vg	7
[0,10]	2.09846786248132	7461	21408	13947	9992238	7762	10000000	0.07762	99.92238	pe	FV	vg	7
(50,60]	59.9781805317811	117	9712794	9712677	9712677	117	9712794	0.00117	97.12677	se	FV	vg	7
(40,50]	45.200470355242	53	40395	40342	9753019	170	9753189	0.0017	97.53019	se	FV	vg	7
(30,40]	35.9439631671412	109	49521	49412	9802431	279	9802710	0.00279	98.02431	se	FV	vg	7
(20,30]	24.967441769732	216	51262	51046	9853477	495	9853972	0.00495	98.53477	se	FV	vg	7
(10,20]	15.8777697354596	568	42829	42261	9895738	1063	9896801	0.01063	98.95738	se	FV	vg	7
[0,10]	2.74523008943885	34151	103199	69048	9964786	35214	10000000	0.35214	99.64786	se	FV	vg	7
(50,60]	59.9937929222726	62	9935110	9935048	9935048	62	9935110	0.00062	99.35048	pe	FV	vg	8
(40,50]	46.1574171029668	18	11460	11442	9946490	80	9946570	8e-04	99.4649	pe	FV	vg	8
(30,40]	35.7138354869209	40	12692	12652	9959142	120	9959262	0.0012	99.59142	pe	FV	vg	8
(20,30]	24.9144240077444	71	10330	10259	9969401	191	9969592	0.00191	99.69401	pe	FV	vg	8
(10,20]	16.2997752808989	111	8900	8789	9978190	302	9978492	0.00302	99.7819	pe	FV	vg	8
[0,10]	2.09494141714711	7543	21508	13965	9992155	7845	10000000	0.07845	99.92155	pe	FV	vg	8
(50,60]	59.9781852227864	117	9713049	9712932	9712932	117	9713049	0.00117	97.12932	se	FV	vg	8
(40,50]	45.1623617141315	58	40767	40709	9753641	175	9753816	0.00175	97.53641	se	FV	vg	8
(30,40]	35.9333604805049	115	49115	49000	9802641	290	9802931	0.0029	98.02641	se	FV	vg	8
(20,30]	24.9659357946049	221	51491	51270	9853911	511	9854422	0.00511	98.53911	se	FV	vg	8
(10,20]	15.8792799567598	627	42553	41926	9895837	1138	9896975	0.01138	98.95837	se	FV	vg	8
[0,10]	2.73809269594759	34202	103025	68823	9964660	35340	10000000	0.3534	99.6466	se	FV	vg	8
(50,60]	59.9939291809578	65	9935068	9935003	9935003	65	9935068	0.00065	99.35003	pe	FV	vg	9
(40,50]	46.1284134116834	18	11572	11554	9946557	83	9946640	0.00083	99.46557	pe	FV	vg	9
(30,40]	35.7423883893359	30	12678	12648	9959205	113	9959318	0.00113	99.59205	pe	FV	vg	9
(20,30]	24.9030433086227	69	10252	10183	9969388	182	9969570	0.00182	99.69388	pe	FV	vg	9
(10,20]	16.3828848698721	152	9068	8916	9978304	334	9978638	0.00334	99.78304	pe	FV	vg	9
[0,10]	2.07405673626065	7494	21362	13868	9992172	7828	10000000	0.07828	99.92172	pe	FV	vg	9
(50,60]	59.9781758886894	113	9712927	9712814	9712814	113	9712927	0.00113	97.12814	se	FV	vg	9
(40,50]	45.169777493983	58	40718	40660	9753474	171	9753645	0.00171	97.53474	se	FV	vg	9
(30,40]	35.9259906878393	122	49183	49061	9802535	293	9802828	0.00293	98.02535	se	FV	vg	9
(20,30]	24.9686178672563	234	51558	51324	9853859	527	9854386	0.00527	98.53859	se	FV	vg	9
(10,20]	15.909095214416	600	42231	41631	9895490	1127	9896617	0.01127	98.9549	se	FV	vg	9
[0,10]	2.7403248116228	34311	103383	69072	9964562	35438	10000000	0.35438	99.64562	se	FV	vg	9
(50,60]	59.994009175771	67	9934860	9934793	9934793	67	9934860	0.00067	99.34793	pe	HOL	vg	10
(40,50]	46.2284438337341	40	11644	11604	9946397	107	9946504	0.00107	99.46397	pe	HOL	vg	10
(30,40]	35.6371582962492	18	12584	12566	9958963	125	9959088	0.00125	99.58963	pe	HOL	vg	10
(20,30]	24.9315883402736	47	10086	10039	9969002	172	9969174	0.00172	99.69002	pe	HOL	vg	10
(10,20]	16.3647211976568	103	9218	9115	9978117	275	9978392	0.00275	99.78117	pe	HOL	vg	10
[0,10]	2.1533691225472	7477	21608	14131	9992248	7752	10000000	0.07752	99.92248	pe	HOL	vg	10
(50,60]	59.9783698891431	124	9714051	9713927	9713927	124	9714051	0.00124	97.13927	se	HOL	vg	10
(40,50]	45.1660128122362	52	40274	40222	9754149	176	9754325	0.00176	97.54149	se	HOL	vg	10
(30,40]	35.9560939764447	84	48991	48907	9803056	260	9803316	0.0026	98.03056	se	HOL	vg	10
(20,30]	24.9796038093748	201	51137	50936	9853992	461	9854453	0.00461	98.53992	se	HOL	vg	10
(10,20]	15.8873880245167	464	42420	41956	9895948	925	9896873	0.00925	98.95948	se	HOL	vg	10
[0,10]	2.72903313390286	33855	103127	69272	9965220	34780	10000000	0.3478	99.6522	se	HOL	vg	10
(50,60]	59.9940633297171	67	9934862	9934795	9934795	67	9934862	0.00067	99.34795	pe	HOL	vg	1
(40,50]	46.222260391618	42	11644	11602	9946397	109	9946506	0.00109	99.46397	pe	HOL	vg	1
(30,40]	35.6275445292621	22	12576	12554	9958951	131	9959082	0.00131	99.58951	pe	HOL	vg	1
(20,30]	24.9274241522903	45	10086	10041	9968992	176	9969168	0.00176	99.68992	pe	HOL	vg	1
(10,20]	16.345340811044	99	9272	9173	9978165	275	9978440	0.00275	99.78165	pe	HOL	vg	1
[0,10]	2.14582560296846	7488	21560	14072	9992237	7763	10000000	0.07763	99.92237	pe	HOL	vg	1
(50,60]	59.9784344384384	127	9714099	9713972	9713972	127	9714099	0.00127	97.13972	se	HOL	vg	1
(40,50]	45.1576632541497	52	40244	40192	9754164	179	9754343	0.00179	97.54164	se	HOL	vg	1
(30,40]	35.9521440368656	83	49043	48960	9803124	262	9803386	0.00262	98.03124	se	HOL	vg	1
(20,30]	24.9672468137591	189	51079	50890	9854014	451	9854465	0.00451	98.54014	se	HOL	vg	1
(10,20]	15.8905453947832	489	42593	42104	9896118	940	9897058	0.0094	98.96118	se	HOL	vg	1
[0,10]	2.7264867595345	33797	102942	69145	9965263	34737	10000000	0.34737	99.65263	se	HOL	vg	1
(50,60]	59.993999195974	73	9935002	9934929	9934929	73	9935002	0.00073	99.34929	pe	HOL	vg	2
(40,50]	46.2230464033121	36	11594	11558	9946487	109	9946596	0.00109	99.46487	pe	HOL	vg	2
(30,40]	35.6287577540958	22	12574	12552	9959039	131	9959170	0.00131	99.59039	pe	HOL	vg	2
(20,30]	24.9294730514927	55	9982	9927	9968966	186	9969152	0.00186	99.68966	pe	HOL	vg	2
(10,20]	16.3598788141095	111	9242	9131	9978097	297	9978394	0.00297	99.78097	pe	HOL	vg	2
[0,10]	2.15791909654726	7463	21606	14143	9992240	7760	10000000	0.0776	99.9224	pe	HOL	vg	2
(50,60]	59.9783375366203	121	9714223	9714102	9714102	121	9714223	0.00121	97.14102	se	HOL	vg	2
(40,50]	45.1601570264361	47	40248	40201	9754303	168	9754471	0.00168	97.54303	se	HOL	vg	2
(30,40]	35.9588064700596	69	48964	48895	9803198	237	9803435	0.00237	98.03198	se	HOL	vg	2
(20,30]	24.9727461261543	196	51112	50916	9854114	433	9854547	0.00433	98.54114	se	HOL	vg	2
(10,20]	15.8800821646126	479	42354	41875	9895989	912	9896901	0.00912	98.95989	se	HOL	vg	2
[0,10]	2.72647649346744	33912	103099	69187	9965176	34824	10000000	0.34824	99.65176	se	HOL	vg	2
(50,60]	59.994014907673	67	9935018	9934951	9934951	67	9935018	0.00067	99.34951	pe	HOL	vg	3
(40,50]	46.2152574479077	44	11614	11570	9946521	111	9946632	0.00111	99.46521	pe	HOL	vg	3
(30,40]	35.6347562918127	22	12556	12534	9959055	133	9959188	0.00133	99.59055	pe	HOL	vg	3
(20,30]	24.9250249252243	55	10030	9975	9969030	188	9969218	0.00188	99.6903	pe	HOL	vg	3
(10,20]	16.3427952329361	103	9230	9127	9978157	291	9978448	0.00291	99.78157	pe	HOL	vg	3
[0,10]	2.15014847809948	7457	21552	14095	9992252	7748	10000000	0.07748	99.92252	pe	HOL	vg	3
(50,60]	59.9784800775621	126	9714022	9713896	9713896	126	9714022	0.00126	97.13896	se	HOL	vg	3
(40,50]	45.1669554884389	49	40394	40345	9754241	175	9754416	0.00175	97.54241	se	HOL	vg	3
(30,40]	35.9672291913537	78	48946	48868	9803109	253	9803362	0.00253	98.03109	se	HOL	vg	3
(20,30]	24.9946918948564	192	51054	50862	9853971	445	9854416	0.00445	98.53971	se	HOL	vg	3
(10,20]	15.8969489928142	411	42445	42034	9896005	856	9896861	0.00856	98.96005	se	HOL	vg	3
[0,10]	2.72548696419395	33932	103139	69207	9965212	34788	10000000	0.34788	99.65212	se	HOL	vg	3
(50,60]	59.9939947937835	65	9935046	9934981	9934981	65	9935046	0.00065	99.34981	pe	HOL	vg	4
(40,50]	46.2076058772688	40	11570	11530	9946511	105	9946616	0.00105	99.46511	pe	HOL	vg	4
(30,40]	35.6436085431941	22	12548	12526	9959037	127	9959164	0.00127	99.59037	pe	HOL	vg	4
(20,30]	24.9362	45	10000	9955	9968992	172	9969164	0.00172	99.68992	pe	HOL	vg	4
(10,20]	16.3564915327833	109	9212	9103	9978095	281	9978376	0.00281	99.78095	pe	HOL	vg	4
[0,10]	2.14964853866075	7505	21624	14119	9992214	7786	10000000	0.07786	99.92214	pe	HOL	vg	4
(50,60]	59.9783615417961	127	9714047	9713920	9713920	127	9714047	0.00127	97.1392	se	HOL	vg	4
(40,50]	45.1644645340751	49	40264	40215	9754135	176	9754311	0.00176	97.54135	se	HOL	vg	4
(30,40]	35.9585497504838	81	49095	49014	9803149	257	9803406	0.00257	98.03149	se	HOL	vg	4
(20,30]	24.9673678849845	192	51054	50862	9854011	449	9854460	0.00449	98.54011	se	HOL	vg	4
(10,20]	15.8915117793299	447	42235	41788	9895799	896	9896695	0.00896	98.95799	se	HOL	vg	4
[0,10]	2.72668312279173	33884	103305	69421	9965220	34780	10000000	0.3478	99.6522	se	HOL	vg	4
(50,60]	59.9940409817634	72	9934858	9934786	9934786	72	9934858	0.00072	99.34786	pe	HOL	vg	5
(40,50]	46.1939684715559	40	11672	11632	9946418	112	9946530	0.00112	99.46418	pe	HOL	vg	5
(30,40]	35.6205962059621	22	12546	12524	9958942	134	9959076	0.00134	99.58942	pe	HOL	vg	5
(20,30]	24.9221604447975	58	10072	10014	9968956	192	9969148	0.00192	99.68956	pe	HOL	vg	5
(10,20]	16.3230669825544	129	9286	9157	9978113	321	9978434	0.00321	99.78113	pe	HOL	vg	5
[0,10]	2.1590466475007	7414	21566	14152	9992265	7735	10000000	0.07735	99.92265	pe	HOL	vg	5
(50,60]	59.9783983981367	133	9714187	9714054	9714054	133	9714187	0.00133	97.14054	se	HOL	vg	5
(40,50]	45.163274976308	48	40098	40050	9754104	181	9754285	0.00181	97.54104	se	HOL	vg	5
(30,40]	35.9627556336446	77	48947	48870	9802974	258	9803232	0.00258	98.02974	se	HOL	vg	5
(20,30]	24.9759392313867	212	51079	50867	9853841	470	9854311	0.0047	98.53841	se	HOL	vg	5
(10,20]	15.8845276451636	461	42521	42060	9895901	931	9896832	0.00931	98.95901	se	HOL	vg	5
[0,10]	2.73020704094293	33889	103168	69279	9965180	34820	10000000	0.3482	99.6518	se	HOL	vg	5
(50,60]	59.993999033323	73	9935066	9934993	9934993	73	9935066	0.00073	99.34993	pe	HOL	vg	6
(40,50]	46.1895661157025	36	11616	11580	9946573	109	9946682	0.00109	99.46573	pe	HOL	vg	6
(30,40]	35.6384108090719	24	12434	12410	9958983	133	9959116	0.00133	99.58983	pe	HOL	vg	6
(20,30]	24.9376237623762	45	10100	10055	9969038	178	9969216	0.00178	99.69038	pe	HOL	vg	6
(10,20]	16.3679389312977	101	9170	9069	9978107	279	9978386	0.00279	99.78107	pe	HOL	vg	6
[0,10]	2.15647265661146	7480	21614	14134	9992241	7759	10000000	0.07759	99.92241	pe	HOL	vg	6
(50,60]	59.9785035816384	123	9714409	9714286	9714286	123	9714409	0.00123	97.14286	se	HOL	vg	6
(40,50]	45.1498775752479	50	40433	40383	9754669	173	9754842	0.00173	97.54669	se	HOL	vg	6
(30,40]	35.9546601045832	87	48765	48678	9803347	260	9803607	0.0026	98.03347	se	HOL	vg	6
(20,30]	24.9850521414177	185	51111	50926	9854273	445	9854718	0.00445	98.54273	se	HOL	vg	6
(10,20]	15.9001873414119	430	42169	41739	9896012	875	9896887	0.00875	98.96012	se	HOL	vg	6
[0,10]	2.73483459893515	33865	103113	69248	9965260	34740	10000000	0.3474	99.6526	se	HOL	vg	6
(50,60]	59.9939987631546	71	9934952	9934881	9934881	71	9934952	0.00071	99.34881	pe	HOL	vg	7
(40,50]	46.2279801607662	38	11694	11656	9946537	109	9946646	0.00109	99.46537	pe	HOL	vg	7
(30,40]	35.6329847144006	22	12430	12408	9958945	131	9959076	0.00131	99.58945	pe	HOL	vg	7
(20,30]	24.9263031755542	43	10014	9971	9968916	174	9969090	0.00174	99.68916	pe	HOL	vg	7
(10,20]	16.3594687232219	153	9336	9183	9978099	327	9978426	0.00327	99.78099	pe	HOL	vg	7
[0,10]	2.1575044034486	7418	21574	14156	9992255	7745	10000000	0.07745	99.92255	pe	HOL	vg	7
(50,60]	59.9785228230906	120	9714219	9714099	9714099	120	9714219	0.0012	97.14099	se	HOL	vg	7
(40,50]	45.1521583178726	53	40425	40372	9754471	173	9754644	0.00173	97.54471	se	HOL	vg	7
(30,40]	35.9579926872355	78	48682	48604	9803075	251	9803326	0.00251	98.03075	se	HOL	vg	7
(20,30]	24.9876907446123	211	51181	50970	9854045	462	9854507	0.00462	98.54045	se	HOL	vg	7
(10,20]	15.8910505836576	510	42405	41895	9895940	972	9896912	0.00972	98.9594	se	HOL	vg	7
[0,10]	2.72953205028713	33742	103088	69346	9965286	34714	10000000	0.34714	99.65286	se	HOL	vg	7
(50,60]	59.993989911587	73	9934962	9934889	9934889	73	9934962	0.00073	99.34889	pe	HOL	vg	8
(40,50]	46.2030412994643	32	11574	11542	9946431	105	9946536	0.00105	99.46431	pe	HOL	vg	8
(30,40]	35.6231212024304	26	12508	12482	9958913	131	9959044	0.00131	99.58913	pe	HOL	vg	8
(20,30]	24.9492896606156	49	10136	10087	9969000	180	9969180	0.0018	99.69	pe	HOL	vg	8
(10,20]	16.3664420778092	103	9202	9099	9978099	283	9978382	0.00283	99.78099	pe	HOL	vg	8
[0,10]	2.15357572393376	7499	21618	14119	9992218	7782	10000000	0.07782	99.92218	pe	HOL	vg	8
(50,60]	59.9785186963395	127	9714308	9714181	9714181	127	9714308	0.00127	97.14181	se	HOL	vg	8
(40,50]	45.1626768091083	50	40227	40177	9754358	177	9754535	0.00177	97.54358	se	HOL	vg	8
(30,40]	35.9760021313222	84	48796	48712	9803070	261	9803331	0.00261	98.0307	se	HOL	vg	8
(20,30]	24.9783126880544	193	51182	50989	9854059	454	9854513	0.00454	98.54059	se	HOL	vg	8
(10,20]	15.8877955089749	444	42173	41729	9895788	898	9896686	0.00898	98.95788	se	HOL	vg	8
[0,10]	2.73003658749056	33929	103314	69385	9965173	34827	10000000	0.34827	99.65173	se	HOL	vg	8
(50,60]	59.9940050278853	66	9934992	9934926	9934926	66	9934992	0.00066	99.34926	pe	HOL	vg	9
(40,50]	46.2031330693751	38	11618	11580	9946506	104	9946610	0.00104	99.46506	pe	HOL	vg	9
(30,40]	35.6123550897253	20	12594	12574	9959080	124	9959204	0.00124	99.5908	pe	HOL	vg	9
(20,30]	24.9206286055301	57	10054	9997	9969077	181	9969258	0.00181	99.69077	pe	HOL	vg	9
(10,20]	16.3594942228036	131	9174	9043	9978120	312	9978432	0.00312	99.7812	pe	HOL	vg	9
[0,10]	2.16162833827893	7459	21568	14109	9992229	7771	10000000	0.07771	99.92229	pe	HOL	vg	9
(50,60]	59.9784431682638	118	9714229	9714111	9714111	118	9714229	0.00118	97.14111	se	HOL	vg	9
(40,50]	45.1745162013399	56	40151	40095	9754206	174	9754380	0.00174	97.54206	se	HOL	vg	9
